id,text,label
412,"Ferguson hails Man Utd's resolve  Manchester United's Alex Ferguson has praised his players' gutsy performance in the 1-0 win at Aston Villa.  ""That was our hardest away game of the season and it was a fantastic game of football, end-to-end with lots of good passing,"" said the Old Trafford boss. ""We showed lots of character and guts and we weren't going to lose. ""I look at that fixture and think we've been there and won, while Arsenal and Chelsea have yet to come and Villa may have some players back when they do."" Ferguson also hailed senior stars Ryan Giggs and Roy Keane, who came off the bench for the injured John O'Shea. ""Roy came on and brought a bit of composure to the midfield which we needed and which no other player has got. ""Giggs was a tremendous threat and he brings tremendous penetration. ""All we can do is maintain our form, play as we are and we'll get our rewards.""",2
636,"O'Connor aims to grab opportunity  Johnny O'Connor is determined to make a big impression when he makes his RBS Six Nations debut for Ireland against Scotland on Saturday.  The Wasps flanker replaces Denis Leamy but O'Connor knows that the Munster man will be pushing hard for a recall for the following game against England. ""It's a 'horses for courses' selection really,"" said O'Connor. ""There's a lot of competition here and I can't just drag my heels around if I don't get picked."" It looks a definite head-to-head battle between himself and 23-year-old Leamy - three stone heavier than O'Connor - for the number seven role against the world champions. Nonetheless, all O'Connor is currently concerned about is making an impression while winning his third cap.  ""Missing the Italian game was disappointing certainly, but you can't dwell on these things - it's part and parcel of rugby. ""Denis has been playing really well and deserved his opportunity. ""It's a good situation to be in if there are good players around you, pushing for a place in the side."" O'Connor, who celebrated his 25th birthday on Wednesday, was touted by Wasps director of rugby Warren Gatland as a possible 2005 Lions Test openside as far back as last September. And his reputation as a breakdown scavenger and heavy hitter has seen him come to the forefront of O'Sullivan's mind for the Scottish tussle. O'Connor added: ""It will be interesting to see how situations on the deck is reffed, with the new laws having come in.  ""Obviously the breakdown a big part of what I do on the pitch so I'm hoping to hold some influence there against what is a very solid Scottish pack."" O'Connor will be winning his third cap after making his debut in the victory over South Africa last November.",0
331,"Wenger offers Mutu hope  Arsenal boss Arsene Wenger would consider signing Adrian Mutu once the striker has served his drugs ban.  Mutu was sacked by Chelsea on Friday after testing positive for cocaine - a move Wenger has backed. But he said: ""I don't even wonder if that could happen because I think he will be suspended for a long period. ""But once he has served his suspension, he has the right again to start from zero. I would then meet the player and see what he tells me."" Mutu faces a ban of between six months and two years when the Football Association decides on his punishment. Chelsea decided to act before his case was heard and sacked the striker on grounds of gross misconduct after it was revealed that he had failed a drug test.  But Mutu has hit out at the club's decision, saying: ""Chelsea have destroyed me."" He told the Sunday Mirror: ""I don't know what I'm going to do. I am shocked and surprised by their decision. ""I didn't expect them to pay me while I was suspended but I never thought they would sack me either. ""Why didn't they wait to do this? Now my career is in ruins. ""I might as well walk away from football. What is there left for me?""  Chelsea have been criticised for their stance, with the Professional Footballers' Association accusing the club of failing in their duty of care to the player. And Mutu agreed, adding: ""It is unfair. If they were going to sack me they should have done it afterwards. ""Why did they go public? To make an example of me? It makes it very difficult for me now.""",2
265,"Israeli club look to Africa  Four African players, including Zimbabwe goalkeeper Energy Murambadoro, are all ready to play for Israeli club Hapoel Bnei Sakhnin in the Uefa Cup.  Bnei Sakhnin are the first Arab side ever to play in European competition and will play English Premiership side Newcastle United in the first round. Warriors' goalkeeper Murambadoro, who made a name for himself at the African Nations Cup finals in Tunisia, helped Bnei Sakhnin overcome Albania's Partizani Tirana 6-1 in the previous round. Murambadoro moved to Israel recently after a brief stint with South African club Hellenic. The club won the Israeli Cup final last season and are based in Sakhnin, which is near Haifa. The club have a strong ethic and are high profile promoters of peace and co-operation within Israel. The three other Africans at the club are former Cameroon defender Ernest Etchi, DR Congo's Alain Masudi and Nigerian midfielder Edith Agoye, who had a stint with Tunisian side Esperance.",2
111,"Tendulkar eyes Test return  Star batsman Sachin Tendulkar is hopeful he will be fit for India's home series against Pakistan next month.  The 31-year-old is poised to make his return from a long-term elbow injury on Tuesday in a domestic four-day match. ""I'm here to prepare myself in a particular way,"" said Tendulkar, who has not played competitively since the Bangladesh tour in December. ""I have to see how I go in the match. Nobody knows what's going to happen but right now I feel fully fit."" Tendulkar will captain West Zone against South Zone in the Duleep Trophy in Hyderabad. India paceman Irfan Pathan, who missed several domestic games this month due to a side strain, is also set to make his comeback in the same game. Tendulkar's injury problems has been attributed mainly to wear and tear caused by non-stop cricket since he emerged on the international scene in 1989 as a 16-year-old. Pakistan arrive in Delhi on 28 February for their first tour to India in six years, which includes three Tests and six one-day games.",3
571,"Williams stays on despite dispute  Matt Williams insists he has no thoughts of quitting as national coach as a result of the power struggle currently gripping Scottish rugby.  The chairman, chief executive and three non-executive directors all departed in a row over the game's future direction. But Williams said: ""I want to make it clear that I'm committed totally to Scottish rugby. ""I've brought my family here and we've immersed ourselves in Scottish life. There's no way that I'm walking away."" However, he attempted to steer clear of taking sides in the dispute. ""I'd like to stress that the national team is separate to the political situation,"" he said.  ""When you come to an undertaking like this and you are trying to make a difference then there are always people who will begrudge you, who are jealous and want to try to drag you down. ""When you have that situation, you have to have the courage of your convictions to see it through. ""There was some very unhelpful and uninformed comment that the national team had received a massive increase in budget at the expense of other parts of Scottish rugby and that is simply not the case. ""Like all good coaches, you go and ask for an increase. But we were told in no uncertain terms that the financial situation did not allow that. ""The idea that we are lighting cigars with Â£20 notes while the rest of Scottish rugby flounders is absolutely untrue. ""We also attracted criticism because of the number of days players spent with the national team. ""But let me give you the truth. Our Irish counterparts, whom we have to compete with in a few days' time, had 70 days together at the summer. ""They are currently in camp now and they will have another 21 days in camp before the Six Nations. ""That means they will have 91 days away from their club from July until the Six Nations. We, on the other hand, will have 16. ""There must be a win-win philosophy and attitude within Scottish rugby and that is what we are after - both groups winning, not competing.""",0
503,"Davies favours Gloucester future  Wales hooker Mefin Davies is likely to stay with English side Gloucester despite reported interest from the Neath-Swansea Ospreys.  BBC Wales understands the Ospreys are interested in the 32-year-old, but that he would prefer to stay where he is. Davies, one of the stars of Saturday's RBS Six Nations win over England, is only on a year contract at Kingsholm. But the hooker has proved his worth to the Zurich Premiership side and is likely to get a new deal next season. The summer demise of the Celtic Warriors region left Davies in the cold and forced him to take a semi-professional contract with Neath RFC. Although he got match time with the Ospreys at the request of the Wales management, he admitted before his move to Gloucester that he was angry with the way he was treated. ""The WRU didn't give me any help off the field, it was very disappointing,"" Davies said at the time. ""It was a hard time throughout the summer, then deciding whether to accept an offer from Stade Francais which would have ended my Wales career.""",0
112,"Tudor given fresh start by Essex  Former England paceman Alex Tudor has joined Essex on a one-year contract.  The 27-year-old, who 10 Test caps, was released by Surrey at the end of last season after 10 years at The Oval. He only played one Championship game in 2004 because of a side injury and has agreed 'performance related' terms with Essex after treatment by a specialist. ""I am determined to repay Essex for the faith they have shown in me. This is a new start for me and I am just itching to get out on the field,"" he said. ""[Essex captain] Ronnie Irani phoned me up after he heard I'd been released by Surrey and said he wanted to get me fit. Even if I didn't sign he just wanted to get me back on the cricket field. ""I've had a spinal problem and Essex put me in touch with some people in Germany and I owe them a lot,"" he added. Tudor is also a useful performer with the bat and became an overnight hero in 1999 when his innings of 99 not out against New Zealand saw England to a Test victory at Edgbaston. He last played for England on the 2002-03 Ashes tour when, ironically, he joined the squad as a replacement for new Essex team-mate Darren Gough. Irani described Tudor as a ""world-class signing"".  He told the club's website: ""He is a role model professional with a first-class attitude who will be a great asset to the team. ""There has obviously been a question mark over Alex's fitness record of late but he has gone to extreme measures in order to get himself back on track. ""If all goes well then hopefully we will be talking about Alex Tudor in the future as an Essex and England player."" The signing was also welcomed by coach Graham Gooch, who was England manager on Tudor's first tour to Australia in 1998-99. ""I had nothing other than praise for the way he conducted himself - both on the field where he performed well in all three disciplines and in the dressing room,"" said Gooch. ""Alex is an international quality player and good team man who will be well motivated to prove his doubters wrong.""",3
64,"Radcliffe will compete in London  Paula Radcliffe will compete in the Flora London Marathon this year after deciding her schedule for 2005.  The 31-year-old won the race in 2002 on her marathon debut, defended her title 12 months later and will now seek a third title in the 17 April race. ""It doesn't get any better than this for the 25th anniversary,"" said race director David Bedford. ""After announcing the greatest men's field ever we now have the greatest women's distance runner ever."" Three years ago Radcliffe smashed the women's world record in two hours 18 minutes 15 seconds.  The Bedford star returned to London 12 months later, lowering her mixed-race world record of 2:17:18, which she set in Chicago in October 2003, by one minute 53 secs. Radcliffe's career took a setback when she failed to complete the Olympic marathon and later dropped out of the Athens 10,000m last August. But the 31-year-old bounced back to win the New York Marathon in November. Radcliffe, however, passed up the chance to go for the ""Big City"" marathon grand slam. With wins in Chicago, London and New York, only the Boston Marathon remains to be conquered but that takes place a day after London. ""Boston is definitely a race I want to do at some point, but London is very special to me,"" said Radcliffe. ""I don't pick races thinking about things like pressure. I pick the ones in my heart I really want to do. ""I love the atmosphere, crowds and course and know it will always be a great quality race. ""It is also the 25th anniversary this year which adds to the occasion.""",4
512,"Fit-again Betsen in France squad  France have brought flanker Serge Betsen back into their squad to face England at Twickenham on Sunday.  But the player, who missed the victory over Scotland through injury, must attend a disciplinary hearing on Wednesday after being cited by Wasps. ""Serge has a good case so we are confident he will play,"" said France coach Bernard Laporte. The inexperienced Nicolas Mas, Jimmy Marlu and Jean-Philippe Grandclaude are also included in a 22-man squad. The trio have been called up after Pieter de Villiers, Ludovic Valbon and Aurelien Rougerie all picked up injuries in France's 16-9 win on Saturday.  Laporte said he was confident that Betsen would be cleared by the panel investigating his alleged trip that broke Wasps centre Stuart Abbott's leg. ""If he was to be suspended, we would call up Imanol Harinordoquy or Thomas Lievremont,"" said Laporte, who has dropped Patrick Tabacco. ""We missed Serge badly against Scotland. He has now recovered from his thigh injury and played on Saturday with Biarritz."" France's regular back-row combination of Betsen, Harinordoquy and Olivier Magne were all missing from France's side at the weekend because of injury. Laporte is expected to announce France's starting line-up on Wednesday.  Forwards: Nicolas Mas, Sylvain Marconnet, Olivier Milloud, William Servat, Sebastien Bruno, Fabien Pelous, Jerome Thion, Gregory Lamboley, Serge Betsen, Julien Bonnaire, Sebastien Chabal, Yannick Nyanga. Backs: Dimitri Yachvili, Pierre Mignoni, Frederic Michalak, Yann Delaigue, Damien Traille, Brian Liebenberg, Jean-Philippe Grandclaude, Christophe Dominici, Jimmy Marlu, Pepito Elhorga.",0
