id,text,label
4635,"In Finland , the Bank of +land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",1
1674,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",2
257,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",0
3755,Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros .,2
4277,The share subscription period will expire on 30 September 2007 .,2
4145,"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .",2
1084,The company has a wide selection of metal products and services .,2
3880,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,2
4682,"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",1
2564,Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration .,2
747,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",0
3634,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .,2
1955,"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",2
4247,The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,2
2920,"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 .",0
2321,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",0
4309,"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",2
1074,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",2
3818,"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",2
1608,The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .,0
610,"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",0
2348,He will report to CapMan Plc 's CEO Heikki Westerlund .,2
1771,"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",0
1124,"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .",2
4757,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",1
1843,Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,2
1965,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",1
3353,"The Segu companies and PKC 's Polish unit will form a business servicing the western European markets with `` annual sales of about hundred million '' and about 2,500 employees , the Finnish company 's CEO , Harri Suutari , said .",2
1202,Consumers are now increasingly interested in what they can do with heir phones .,2
2555,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,2
2755,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",1
4457,"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .",0
821,All of Raisio 's divisions recorded an operating profit .,0
2993,Joint procurement will be later extended to the factories in the Baltic countries .,2
2213,The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,2
4549,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,1
4089,Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,0
1706,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",1
1824,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",2
968,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",0
4744,"In the Baltic countries , sales fell by 42.6 % .",1
495,It delivers a different user experience and enables us to widen the market we can address . '',0
4113,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,2
4171,Another problem is cola-flavoured long drinks .,2
461,"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",0
355,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,0
4818,Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .,1
2666,The plans will result in the introduction of new and highly specialized manufacturing methods and also entail changes to personnel at the facility .,2
2140,"Jens Schulte-Bockum , Vodafone 's global director of terminals , said the company expects to sell one to two million of the Vodafone 125 and 225 models in the first year of launch , and potentially tens of millions over the lifetime of the device .",0
743,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive .",2
2463,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",2
3982,Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .,2
3555,"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",2
3403,The venture recently agreed to buy Motorola 's wireless networks business for $ 1.2 billion and to deploy LightSquared 's national 4G network .,2
137,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',0
3376,"The total number of voting rights is 74,612,523 .",2
84,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",0
1589,"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",2
2885,EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,2
2305,"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .",0
4662,"Cash flow after investments amounted to EUR45m , down from EUR46m .",1
1868,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",2
1265,"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said .",2
685,"A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .",2
289,The company expects its net sales in the first half of 2008 to reach the previous year 's level .,0
3525,"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .",2
4225,Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs .,2
3713,"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake .",2
260,Orders received grew by 55 % year-on-year to EUR732m .,0
4547,"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news",2
