id,text,label
2220,"BT program to beat dialler scams  BT is introducing two initiatives to help beat rogue dialler scams, which can cost dial-up net users thousands.  From May, dial-up net users will be able to download free software to stop computers using numbers not on a user's ""pre-approved list"". Inadvertently downloaded by surfers, rogue diallers are programs which hijack modems and dial up a premium rate number when users log on. Thousands of UK dial-up users are believed to have been hit by the scam. Some people have faced phone bills of up to Â£2,000. BT's Modem Protection program will check numbers that are dialled by a computer and will block them if they have not been pre-approved, such as national and net service provider numbers. Icstis, the UK's premium rate services watchdog, said it had been looking for companies to take the lead in initiatives. ""The initiatives are very welcome,"" a spokesperson from Icstis told the BBC News website. ""We are very pleased to see they are putting into place new measures to protect consumers.""  The second initiative BT announced is an early warning system which will alert BT customers if there is unusual activity on their phone bills. If a bill rises substantially above its usual daily average, or if a call is made to a suspect number, a text or voice alert will be sent to the user's landline phone. As part of the clamp-down on rogue diallers, companies must now satisfy stringent conditions, including clear terms and conditions, information about how to delete diallers and responsibility for customer refunds. Any firm running a dialler without permission can now be closed down by Icstis. The watchdog brought in the action last October following a decision to license all companies which wanted to operate legitimate premium rate dialler services.  There are legitimate companies who offer services such as adult content, sports results and music downloads by charging a premium rate rather than by credit card BT said it had ploughed an enormous amount of effort into protecting people from the problem. It has already barred more than 1,000 premium rate numbers and has tried to raise public awareness about the scams. ""We now want to ensure there are even stronger safeguards for our customers, who we would urge to make use of these new options to protect themselves,"" said Gavin Patterson, group managing director for consumer the arm of BT. Both schemes have been undergoing trials in Ireland, and will be made available to 20 million BT customers from May.",3
233,"Vodafone appoints new Japan boss  Vodafone has drafted in its UK chief executive William Morrow to take charge of its troubled Japanese operation.  Mr Morrow will succeed Shiro Tsuda as president of Vodafone KK, Japan's number three mobile operator, in April. Mr Tsuda, who will become chairman, was appointed president only two months ago but the business has struggled since then, losing customers in January. Vodafone had pinned its hopes on the launch of its 3G phones in November but demand for them has been slow.  While it has more than 15 million customers in Japan, Vodafone has found it difficult to satisfy Japan's technologically demanding mobile users. It suffered a net loss of more than 58,000 customers in January, its second monthly reverse in the last year. ""Vodafone is going to need to put a lot of money into Japan if it wants to rebuild the business,"" Tetsuro Tsusaka, a telecoms analyst with Deutsche Bank, told Reuters. ""I do not know if it will be worth it for them to spend that kind of money just for Japan.""",0
118,"Bank opts to leave rates on hold  The Bank of England has left interest rates on hold at 4.75% for a sixth month in a row.  The Bank's Monetary Policy Committee (MPC) decided to take no action amid mixed signals from the economy. But some economists predict a further rise in the cost of borrowing will come later this year. Interest rates rose five times between November 2003 and August 2004 as soaring house prices and buoyant consumer data sparked inflation fears. Bank of England governor Mervyn King has recently warned against placing too much weight on one month's economic data, suggesting the MPC is waiting for a clearer picture to emerge. Economists see next week's inflation report from the MPC as key in assessing whether a further interest rate rise is necessary to keep the economy in check.  Slower consumer spending and a quieter housing market are likely to have convinced the MPC that rates should be left unchanged in recent months. Inflation, however, has been rising faster than expected, hitting an annual rate of 1.6% in December - its highest level in six months. Data on Wednesday also showed manufacturing output rose at its fastest rate since May last month, reinforcing a view that economic growth was stronger than forecasts.  And recent house surveys from the Halifax and Nationwide have indicated prices are still rising, albeit at a slower pace than in recent years. Philip Shaw, chief economist at Investec Securities, said he believed rates would remain at 4.75% for the rest of the year although strong economic data could lead to a further hike. ""The economic landscape has changed quite considerably over the last couple of months, "" he said. ""Growth appears stronger and the MPC may become more concerned about inflation trends."" Howard Archer, economist at Global Insight said the MPC ""may well consider that the balance of risks to the growth and inflation outlook have moved from the downside to the upside"".  Business groups welcomed the MPC's widely-expected move to leave rates on hold and cautioned against further rises. The British Chambers of Commerce (BCC) said it was ""concerned by the clamour in some quarters"" for early interest rate increases. ""We believe that these demands should be firmly resisted,"" said David Frost, BCC director general. ""Manufacturing still faces extremely serious problems and is performing poorly, in spite of the recent revised figures."" Ian McCafferty, chief economist at the CBI, said the MPC faced an ""interesting"" challenge. ""Consumers appear to have pulled in their horns over the holiday period, and exporters are struggling with the strength of sterling,"" he said. ""However, the broader economy continues to show healthy growth, and the tight labour market and buoyant commodity prices are nudging inflation higher.""",0
424,"Nortel in $300m profit revision  Telecoms equipment maker Nortel Networks has sharply revised downwards its profits for the 2003 fiscal year.  In a long-awaited filing, Nortel said it had made $434m (Â£231m), compared to the previously reported $732m. But the figures - revised after an audit which led to the sacking of the Canadian firm's chief - showed revenue was about 4% higher than first thought. Nortel shares, which have lost nearly 50% of their value since last year, climbed 1.46% in Toronto on Tuesday. Nortel's head Frank Dunn and two other executives were fired in January last year after the company announced it had conducted the internal audit. Securities and police authorities in both the US and Canada are still conducting inquiries into the accounts.  Nortel also issued new figures for the 2001-2002 period, which they had previously indicated had understated losses. ""With the completion of our restatements we have a solid foundation on which to move forward with our business,"" said Nortel president and chief executive Bill Owens. ""The restatement has been a monumental task, both complex and demanding."" The company also said 12 senior executives - none of whom were involved directly in the accounting of the revised figures - have voluntarily agreed to repay to bonuses awarded in 2003 totalling $8.6m. Nortel added: ""these members of the core executive team share the board's deep disappointment over the circumstances that led to the restatement.""",0
228,"Shares rise on new Man Utd offer  Shares in Manchester United closed up 4.75% on Monday following a new offer from US tycoon Malcolm Glazer.  The board of the football club is expected to meet early this week to discuss the latest proposal, which values the club at Â£800m ($1.5bn). Manchester United revealed on Sunday that it had received a detailed proposal from Mr Glazer, which looks set to receive more serious scrutiny. The club has previously rejected Mr Glazer's approaches out of hand. But a senior source at the club told the BBC: ""This time it's different."" Supporters' group Shareholders United, however, urged the club to reject the new deal.  A spokesman for the Shareholders United said: ""I can't see any difference (compared to Mr Glazer's previous proposals) other than Â£200m less debt. ""He isn't bringing any money into the club; he'll use our money to buy it.""  Mr Glazer's latest move is being led by Mr Glazer's two sons, Avi and Joel, according to the Financial Times. A proposal was received by David Gill, United's chief executive, at the end of last week, pitched at about 300p a share. David Cummings, head of UK equities for Standard Life Investments, said he believed a ""well funded"" 300p a share bid would be enough for Mr Glazer to take control of the club.  ""I do not think there is anything that Manchester United fans can do about it,"" he told the BBC. ""They can complain about it but it is curtains for them. They may not want him but they are going to get him."" The US tycoon, who has been wooing the club for the last 12 months, has approached the United board with ""detailed proposals"", it has confirmed.  Mr Glazer, who owns the Tampa Bay Buccaneers team, hopes this will lead to a formal bid being accepted. He is believed to have increased the amount of equity in the new proposal, though it is not clear by how much. For his proposal to succeed, he needs the support of United's largest shareholders, the Irish horseracing tycoons JP McManus and John Magnier. They own 29% of United through their Cubic Expression investment vehicle. Mr Glazer and his family hold a stake of 28.1%. But it is not yet known whether Mr McManus and Mr Magnier would support a Glazer bid. NM Rothschild, the investment bank, is advising Mr Glazer, according to the Financial Times. His previous adviser, JPMorgan, quit last year when Mr Glazer went ahead and voted against the appointment of three United directors to the board, against its advice. But the FT said it thought JP Morgan may still have had some role in financing Mr Glazer's latest financial proposal.",0
1359,"Kenteris denies faking road crash  Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.  Kenteris and fellow sprinter Katerina Thanou are set to learn if they will face criminal charges this week. Part of the investigation has centred on whether they staged the crash. Kenteris insisted: ""The accident happened. I went crazy when I found out I had supposedly missed a test and I wanted to rush to the Olympic village."" Kenteris, speaking on Greece's Alter Television station, also claimed that he asked to be tested for banned substances in hospital after the crash. ""I told the hospital, which was an Olympics-accredited hospital, to call the IOC and have me tested on the spot but no-one came.""  After a drama which dominated newspaper headlines in Greece as Athens prepared for the start of the Athens Games, Kenteris and Thanou eventually withdrew. But Kenteris has continually protested his innocence - and on Sunday blamed Greek Olympic Committee officials and his former coach Christos Tzekos for failing to inform him of the test. The 31-year-old insisted he will be happy if he is charged so he can clear his name. ""If a decision is taken to have charges filed against me, I will accept it gladly. ""A prosecution means that the case will be cleared... I want to go to the end and then we'll see who's right and who isn't."" Kenteris, a Greek hero after winning gold in the 200m at the 2000 Olympics in Sydney, also confirmed that he was due to light the flame at the Athens opening ceremony. ""I had even rehearsed lighting the cauldron,"" he said.",1
57,"Electrolux to export Europe jobs  Electrolux saw its shares rise 14% on Tuesday after it said it would be shifting more of its manufacturing to low-cost countries.  The Swedish firm, the world's largest maker of home appliances, said it is to relocate about 10 of its 27 plants in western Europe and North America. It did not say which facilities would be affected, but intends moving them to Asia, eastern Europe and Mexico. The company has two manufacturing sites in County Durham. It makes lawn and garden products in Newton Aycliffe, and cookers and ovens in Spennymoor. The Newton Aycliffe plant could also be affected by Electrolux's separate announcement that it is to spin-off its outdoor products unit into a new separate company.  Electrolux's subsidiary brands include AEG, Zanussi and Frigidaire. The company said it was speeding up its restructuring programme, which aims to save between Â£190m and Â£265m annually from 2009. ""We see that about half the plants in high-cost countries - that is around 10 - are at risk,"" said Electrolux chief executive Hans Straberg. ""It looks pretty grim,"" said Swedish trades union official Ulf Carlsson. ""What are we going to end up producing in Sweden?""",0
1276,"Hunt ban support is 'in decline'  Support for a ban on hunting has fallen in the past six years, a poll suggests.  Less than half the UK wants a ban compared to almost two-thirds in 1999, the Mori survey of 2,000 adults for BBC One's Countryfile programme suggests. The number opposed to a ban remains constant, but those ""neither supporting nor opposing"" has increased by 11%. Most city-dwellers support the ban but rural people were evenly split between supporters, opponents and undecided.  Polling company Mori carried out both surveys. In July 1999 they asked 801 adults if they supported the ban for the Mail on Sunday. For Countryfile they asked 2,234 adults across the country the same question. The Mail on Sunday survey found that 63% supported a hunting ban compared with 24% against. In the Countryfile survey, 47% said they supported the legislation, with 26% against. But the programme makers suggest the British public are becoming ""increasingly neutral"" to the issue because around one quarter said they ""neither support nor oppose"" a ban.",2
1545,"Redknapp poised for Saints  Southampton are set to unveil Harry Redknapp as their new manager at a news conference at 1500 GMT on Wednesday.  The former Portsmouth boss replaces Steve Wigley, who has been relieved of first-team duties after just one win in 14 league games in charge. Redknapp, 57, quit his Fratton Park position on 24 November and vowed: ""I will not go down the road - no chance."" Pompey coach Kevin Bond is poised to join Redknapp, who will be Saints' third boss of the season. Redknapp's first game in charge will be at home to Middlesbrough on Saturday. Portsmouth chairman Milan Mandaric said he was ""disappointed"" by the news and claimed Redknapp had been in talks with Southampton for ""some time"".  ""It would appear that negotiations over this have been going on for some time,"" Mandaric said on Portsmouth's official website. ""I am surprised and a little shocked that the chairman of Southampton has not picked up the phone and kept me informed."" According to Mandaric, Redknapp vowed he would not join their South coast rivals when he left Portsmouth. ""I said to Harry 'I hope you don't go to Southampton', and he told me 'absolutely not',"" he said. ""I'm wouldn't say I'm bitter, disgusted or angry, just disappointed, but it's Harry's life and it's his decision."" Redknapp became a cult hero after leading Portsmouth into the Premiership for the first time, and then masterminding their survival in their debut season. But he left the club claiming he needed a break from football, though many believed he was upset with Mandaric's decision to bring in Velimir Zajec as executive director.  Southampton chairman Rupert Lowe was desperate to give former academy director Wigley, who replaced Paul Sturrock just two games into the season, every chance to succeed at St Mary's. But results under Wigley have been poor and Southampton are deep in trouble near the foot of the table. When Redknapp's appointment is confirmed, he will be Saints' ninth manager in eight years.",1
864,"Bafta to hand out movie honours  Movie stars from across the globe are attending this year's Bafta film award ceremony.  British stars Imelda Staunton and Clive Owen are hoping for awards at the Odeon in London's Leicester Square. Hollywood stars Leonardo diCaprio, Pierce Brosnan, Christian Slater and Richard Gere are also in the audience for the biggest night in UK film. Hollywood blockbuster The Aviator, starring DiCaprio, leads the field with 14 nominations, including best movie. It is up against Eternal Sunshine of the Spotless Mind, Finding Neverland, The Motorcycle Diaries and British film Vera Drake, which has 11 nominations.  Staunton is one of the favourites to land the best actress award for her gritty role as a backstreet abortionist in the small-budget film. She arrived at the ceremony wearing a green silk and chiffon low cut evening dress decorated with beads. ""It's lovely to be here at home, to be on British soil. It's very nice indeed,"" she told reporters.  Asked whether she was nervous about her best actress nomination she said: ""It's out of my hands, there's nothing I can do. I'm here with a lot of mates and we're going to have a very nice evening."" Other nominees in the best actress category include Charlize Theron for Monster, Ziyi Zhang for House of Flying Daggers and UK star Kate Winslet, who has two nods for her roles in Eternal Sunshine of the Spotless Mind and Finding Neverland. DiCaprio faces competition from Bernal, Jamie Foxx, Jim Carrey and Johnny Depp in the best actor category. The crowed screamed when he arrived on the red carpet.""It's unlike anything I've ever encountered. It's very intense and very loud,"" he told the BBC.  ""It's the first time I've come to the Baftas because it's the first time I've been nominated...I've appreciated British cinema for a long time and to be recognised like this is a special honour."" Gere, who is presenting the best film award, said: ""It's a big party, I had no idea it was going to be this big. It's crazy, I think it's bigger than the Academy Awards.""  British actor Owen is hoping to repeat his Golden Globe success with a best supporting actor award for his role in Closer. He raised one of the biggest cheers of the night when he walked down the red carpet. ""I was always a huge fan of Closer as a play, so when I got the call to appear in the film, it was a huge thrill for me,"" he said. ""The whole experience has been a treat and I'm very fortunate to have been given the role."" His co-star Natalie Portman is up against Blanchett, Heather Craney, Julie Cristie and Meryl Streep in the best supporting actress category. Mike Leigh is up for the best director award for Vera Drake, alongside Martin Scorsese for The Aviator, Michael Mann for Collateral, Michel Gondry for Eternal Sunshine of the Spotless Mind and Marc Forster for Finding Neverland.  The Orange British Academy Film Awards will be shown on BBC One at 2010 GMT.",4
